Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value(lap平均心率),ns1:Value2(最高心率),ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:DistanceMeters3,ns1:Value4(Heart Rate),ns2:Speed,ns1:LatitudeDegrees(緯度),ns1:LongitudeDegrees(經度),ns1:AltitudeMeters(海拔高度),ns2:AvgSpeed,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:25:39.000Z,0,91,,,,,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:25:52.000Z,22.03000069,91,1.618000031,25.08088346,121.5804874,19.79999924,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:25:55.000Z,45.90999985,94,2.338999987,25.08067533,121.580534,18.60000038,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:02.000Z,70.34999847,97,3.878000021,25.08051683,121.5804965,17.60000038,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:06.000Z,96.23000336,100,3.855999947,25.08044265,121.5802539,16.79999924,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:10.000Z,122.1800003,102,5.43200016,25.08037778,121.5800102,16.20000076,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:13.000Z,147.2700043,105,6.403999805,25.08034576,121.5797643,16,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:16.000Z,168.4799957,108,7.410999775,25.08030837,121.5795581,16,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:20.000Z,194.8399963,110,7.068999767,25.08034986,121.57931,15.80000019,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:24.000Z,215.2599945,110,6.657000065,25.08041457,121.5791218,15,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:29.000Z,236.75,109,5.001999855,25.08049269,121.5789277,15,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:33.000Z,262.8900146,110,4.703999996,25.08057886,121.5786902,14.19999981,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:37.000Z,288.7600098,111,6.21600008,25.08062957,121.5784408,13.60000038,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:42.000Z,313.5799866,111,5.585999966,25.0806724,121.5781991,14.19999981,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:49.000Z,333.7000122,110,3.611999989,25.08067391,121.5780054,15.19999981,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:26:54.000Z,357.4500122,110,3.881999969,25.08077826,121.5778048,16.20000076,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:00.000Z,382.2099915,111,4.409999847,25.08087675,121.5775879,17.39999962,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:05.000Z,404.0499878,108,4.639999866,25.08093886,121.5773825,18,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:09.000Z,424.1000061,109,4.519000053,25.08101103,121.5772057,18,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:13.000Z,444.5499878,111,4.869999886,25.08107155,121.5770152,18,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:17.000Z,465.8500061,111,5.519999981,25.08110206,121.5768095,16.39999962,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:20.000Z,488.730011,112,5.873000145,25.08117464,121.5765969,14,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:23.000Z,515.3699951,114,6.952000141,25.08128587,121.5763628,11.60000038,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:28.000Z,541.8499756,114,7.107999802,25.08143339,121.5761643,10.60000038,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
Biking,2024-09-04T12:25:39.000Z,2024-09-04T12:25:39.000Z,298.754,1609,8.19699955,30,108,118,Active,Manual,2024-09-04T12:27:31.000Z,563,114,6.339000225,25.08149324,121.5759651,11,5.386000156,vívosmart 4,3342354080,3218,5,20,0,0,Connect Api,0,0,0,0,en,006-D2449-00
